:START_ID,:END_ID,relation,:TYPE
201170,300008,概念属于,概念属于
201988,300008,概念属于,概念属于
201778,300008,概念属于,概念属于
201699,300008,概念属于,概念属于
200339,300008,概念属于,概念属于
201677,300008,概念属于,概念属于
202402,300008,概念属于,概念属于
202146,300008,概念属于,概念属于
200191,300008,概念属于,概念属于
200282,300008,概念属于,概念属于
201611,300008,概念属于,概念属于
202139,300008,概念属于,概念属于
201865,300008,概念属于,概念属于
203390,300008,概念属于,概念属于
201424,300008,概念属于,概念属于
201456,300008,概念属于,概念属于
201947,300008,概念属于,概念属于
200806,300008,概念属于,概念属于
202704,300008,概念属于,概念属于
200899,300008,概念属于,概念属于
200442,300008,概念属于,概念属于
203393,300008,概念属于,概念属于
200388,300008,概念属于,概念属于
201596,300008,概念属于,概念属于
201628,300008,概念属于,概念属于
200361,300008,概念属于,概念属于
201340,300008,概念属于,概念属于
201961,300008,概念属于,概念属于
200912,300008,概念属于,概念属于
200225,300008,概念属于,概念属于
201312,300008,概念属于,概念属于
200810,300008,概念属于,概念属于
202667,300008,概念属于,概念属于
201880,300008,概念属于,概念属于
201572,300008,概念属于,概念属于
201788,300008,概念属于,概念属于
201799,300008,概念属于,概念属于
202337,300008,概念属于,概念属于
201940,300008,概念属于,概念属于
200320,300008,概念属于,概念属于
202554,300008,概念属于,概念属于
200162,300008,概念属于,概念属于
201601,300008,概念属于,概念属于
203137,300008,概念属于,概念属于
201274,300008,概念属于,概念属于
202630,300008,概念属于,概念属于
202886,300008,概念属于,概念属于
201271,300008,概念属于,概念属于
201388,300008,概念属于,概念属于
202076,300008,概念属于,概念属于
203314,300008,概念属于,概念属于
200948,300008,概念属于,概念属于
202787,300008,概念属于,概念属于
201685,300008,概念属于,概念属于
201946,300008,概念属于,概念属于
201259,300008,概念属于,概念属于
203376,300008,概念属于,概念属于
201253,300008,概念属于,概念属于
201900,300008,概念属于,概念属于
200847,300008,概念属于,概念属于
201852,300008,概念属于,概念属于
203464,300008,概念属于,概念属于
201240,300008,概念属于,概念属于
201469,300008,概念属于,概念属于
202084,300008,概念属于,概念属于
201719,300008,概念属于,概念属于
202268,300008,概念属于,概念属于
201213,300008,概念属于,概念属于
203142,300008,概念属于,概念属于
202453,300008,概念属于,概念属于
201789,300008,概念属于,概念属于
203069,300008,概念属于,概念属于
203166,300008,概念属于,概念属于
202407,300008,概念属于,概念属于
201177,300009,概念属于,概念属于
201175,300009,概念属于,概念属于
200520,300009,概念属于,概念属于
202883,300009,概念属于,概念属于
201744,300009,概念属于,概念属于
201125,300009,概念属于,概念属于
202120,300009,概念属于,概念属于
200913,300009,概念属于,概念属于
201840,300009,概念属于,概念属于
201681,300009,概念属于,概念属于
202242,300009,概念属于,概念属于
200170,300009,概念属于,概念属于
200721,300009,概念属于,概念属于
201867,300009,概念属于,概念属于
200405,300009,概念属于,概念属于
203019,300009,概念属于,概念属于
201381,300009,概念属于,概念属于
202198,300009,概念属于,概念属于
200300,300009,概念属于,概念属于
202463,300009,概念属于,概念属于
201188,300010,概念属于,概念属于
202102,300010,概念属于,概念属于
201922,300010,概念属于,概念属于
200686,300010,概念属于,概念属于
200298,300010,概念属于,概念属于
202278,300010,概念属于,概念属于
200433,300010,概念属于,概念属于
200785,300010,概念属于,概念属于
201564,300010,概念属于,概念属于
200015,300010,概念属于,概念属于
200951,300010,概念属于,概念属于
202805,300010,概念属于,概念属于
202525,300010,概念属于,概念属于
202471,300010,概念属于,概念属于
200263,300010,概念属于,概念属于
200538,300010,概念属于,概念属于
200138,300010,概念属于,概念属于
200312,300010,概念属于,概念属于
202081,300010,概念属于,概念属于
203342,300010,概念属于,概念属于
202684,300010,概念属于,概念属于
202036,300011,概念属于,概念属于
200413,300011,概念属于,概念属于
202062,300011,概念属于,概念属于
200285,300011,概念属于,概念属于
200750,300011,概念属于,概念属于
201436,300011,概念属于,概念属于
201029,300011,概念属于,概念属于
203508,300011,概念属于,概念属于
201613,300011,概念属于,概念属于
203518,300011,概念属于,概念属于
201333,300011,概念属于,概念属于
200095,300011,概念属于,概念属于
203447,300011,概念属于,概念属于
201310,300011,概念属于,概念属于
200851,300011,概念属于,概念属于
